Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Male 18+ birthright,Male 18+ bloodright,Male 18+ naturalized,Male 18+ not citizen,Female 18+ birthright,Female 18+ bloodright,Female 18+ naturalized,Female 18+ not citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,No income,Income under 10k,Income 10k to 15k,Income 15k to 25k,Income 25k to 35k,Income 35k to 50k,Income 50k to 65k,Income 65k to 75k,Income above 75k,Income below poverty,Median income,Year,State FIPS,State Abbr,District
691709,38.7,468080,453414,20600,191509,6688,9598,60,11047,334603,357106,12448,240694,10191,3769,6422,266883,8971,4101,4870,67374,152140,139943,68296,35203,555135,88043,102166,58249,85435,62310,62460,38644,15559,42269,57639,23092,2014,01,AL,1
685500,37.8,448069,432195,24282,207107,2953,8199,120,12473,334415,351085,12899,242441,9228,2844,6384,264142,9033,3899,5134,77706,147735,134433,60767,36737,552334,76636,111029,59683,83037,64420,63240,37998,15503,40788,57089,22525,2014,01,AL,2
692659,37.7,489638,477849,19741,175475,1998,9235,274,10096,337938,354721,13796,248760,8840,2491,6349,269204,9285,3482,5803,82250,148478,134012,55390,36205,563209,81910,118011,61459,85623,62502,61751,39101,14701,38151,80236,21508,2014,01,AL,3
695876,38.8,535863,512427,33809,118796,5096,11212,504,16813,341450,354426,18321,246417,13987,5212,8775,262075,14546,6703,7843,67128,128278,137913,86543,50905,565364,80533,101561,54984,79731,61715,61581,41344,17932,65983,63346,25783,2014,01,AL,5
688346,38.6,552810,535428,34680,96977,2181,12096,108,7775,335098,353248,22218,236462,15386,4416,10970,259179,13719,5181,8538,53634,120209,135503,99170,60904,552926,75579,88233,46272,72753,61214,69176,49978,20539,69182,51823,30073,2014,01,AL,6
683276,40.5,603910,576373,40954,47126,5192,3880,186,12149,334924,348352,19611,241094,12610,2643,9967,261365,10395,2815,7580,97092,157224,139800,44695,27803,552636,80762,110603,64996,95307,61315,61410,34564,12908,30771,104065,20768,2014,01,AL,4
680312,35.2,229521,218902,17772,432818,1073,4102,178,6075,317592,362720,11670,230717,8534,2086,6448,279118,6484,1942,4542,79184,145697,130356,50407,28788,550987,86085,137260,65761,86481,57537,52904,29236,10680,25043,34402,17803,2014,01,AL,7
728300,33.4,484195,458284,45247,25148,102743,40976,8335,58521,380119,348181,23770,261046,22572,12215,10357,231546,25046,14209,10837,37700,126611,168570,82261,45177,571190,26180,116079,42885,73054,62036,71201,56014,28771,94970,31747,31441,2014,02,AK,1
716939,40.6,586079,451465,192229,28764,9632,21198,1233,28648,353797,363142,39589,245743,31048,15314,15734,249403,41618,21881,19737,47819,107003,180225,92765,66315,592632,74832,104720,58548,90385,70139,69282,45354,18146,61226,83560,25601,2014,04,AZ,2
725399,30.7,533055,201701,447479,32758,30553,12361,1109,21007,363949,361450,93284,190325,67478,27253,40225,181983,77014,30932,46082,108228,114542,132914,42378,22689,551973,117425,112403,53886,81242,61220,59408,27920,11724,26745,117467,20821,2014,04,AZ,3
743690,37.2,632134,534442,131312,22838,8596,33550,1365,21241,363922,379768,36958,228328,32955,15655,17300,245115,35775,18696,17079,35876,108208,179021,106501,56382,574999,80559,82935,43834,73475,61189,74069,52914,24287,81737,58004,32404,2014,04,AZ,5
733248,28.6,487080,150931,470620,71589,20467,17174,2237,20755,370789,362459,154342,158720,92028,21998,70030,158903,90596,22088,68508,136483,112929,105480,37357,18614,536279,142575,92807,52885,86666,59588,51164,24117,7179,19298,168927,20429,2014,04,AZ,7
734569,40.3,630378,521099,139099,31770,7200,22855,598,22092,352204,382365,30445,234197,29076,15419,13657,260292,34874,20332,14542,41676,129438,192837,91820,48164,587989,85003,80382,48183,80362,70228,81610,53455,23101,65665,58640,30954,2014,04,AZ,8
724361,36.4,471724,366725,151609,17164,169646,11163,1189,21644,363785,360576,28090,248137,22615,8097,14518,248685,21575,9941,11634,70006,124319,161052,66053,41192,572130,110810,116056,51048,76630,56928,62330,38950,14985,44393,67308,22845,2014,04,AZ,1
724501,45.5,635756,543334,134834,13190,14110,7904,1729,19741,366541,357960,37433,257957,30105,11045,19060,254011,29777,13719,16058,69336,157999,199078,60649,33403,597015,89251,105554,62156,101187,73435,69998,40232,15070,40132,93716,23099,2014,04,AZ,4
729975,40.8,629624,544277,111670,17925,10870,31552,553,19428,356276,373699,54690,234010,43689,18601,25088,249771,46884,22775,24109,40147,100600,163933,131855,79798,601864,81082,80720,45857,78098,63301,75660,51630,23231,102285,68668,33546,2014,04,AZ,6
728834,33.1,568252,420879,198174,38382,19706,33314,2625,25976,367528,361306,69335,236711,48864,16478,32386,232947,49815,18774,31041,54821,95041,154689,104467,60674,596196,86507,95822,52666,84072,68862,74785,48036,19480,65966,93115,27548,2014,04,AZ,9
727516,39.2,573524,557892,22076,131833,2562,3265,453,10705,360108,367408,8870,264518,6774,2189,4585,277518,5878,2367,3511,90564,188979,137494,49303,24239,584467,84108,123838,71831,97816,68637,63563,34486,11591,28597,97496,20021,2014,05,AR,1
745257,36.3,547423,519403,36663,163502,2554,10883,163,14452,361999,383258,19439,257433,13922,4437,9485,283472,12878,4939,7939,56803,153474,147073,87346,47415,596516,76414,103409,58896,93575,71356,74560,45952,19401,52953,66852,25485,2014,05,AR,2
750491,35.0,641271,576920,99789,21047,9106,19904,5473,22150,371324,379167,50853,241692,32476,8765,23711,255546,30483,9351,21132,76054,151754,133256,76199,42257,590200,86230,101839,61742,98561,72019,67583,39730,14648,47848,100885,23716,2014,05,AR,3
723772,40.3,543855,523976,39581,141754,4115,4357,189,11931,353804,369968,16224,256803,10249,2850,7399,277020,10817,3444,7373,82778,188244,140899,50451,25381,584824,80274,125115,71706,100970,68348,62846,34321,12261,28983,90341,19962,2014,05,AR,4
704170,42.2,606848,549578,89740,9895,12956,18110,1836,33939,354132,350038,22907,258308,21781,10070,11711,259348,20987,11590,9397,56809,121872,197957,72152,37484,587223,81966,111562,71373,88808,61218,61955,39438,17709,53194,100351,22272,2014,06,CA,1
710463,34.6,462769,352047,201479,43762,7807,75932,3964,42153,357065,353398,69757,208587,59539,26395,33144,205873,63344,32332,31012,74953,106847,158929,66133,39924,567826,95270,103162,54622,75090,54575,60122,42493,17945,64547,66192,25471,2014,06,CA,3
709026,43.4,609204,549380,88929,8563,8712,31922,1064,28452,353829,355197,27865,246752,27956,14268,13688,248134,31309,19158,12151,36485,110191,197141,105493,51602,583464,81015,90025,49942,75124,57316,65110,46354,23244,95334,58966,30953,2014,06,CA,4
716945,33.3,384787,275536,196698,89734,6626,112129,9041,49936,348802,368143,80845,183778,72018,35201,36817,202406,78264,42222,36042,79811,104114,155986,77126,40953,565200,92076,99658,65818,74453,56191,63541,41148,17901,54414,74185,24433,2014,06,CA,6
707590,33.8,522421,345048,261278,58493,10386,21372,2981,26823,354281,353309,50128,213151,41929,18650,23279,212155,43285,20353,22932,76953,127368,163033,41401,26037,544606,119238,90913,57314,76792,48355,54606,36137,16326,44925,92549,23051,2014,06,CA,8
723517,34.0,413513,259310,273291,62628,6843,102086,3969,53796,358478,365039,86843,180385,75099,33839,41260,188571,77817,39047,38770,91876,113073,155097,59408,26795,558043,102983,99652,58687,73718,53480,53538,37796,17739,60450,63485,24251,2014,06,CA,9
721629,39.3,461368,345343,186654,65027,3009,92109,3667,38022,349825,371804,90997,185698,80510,37244,43266,203398,85868,45990,39878,59390,88794,139611,127830,78021,583848,86765,85886,46122,68275,51672,59574,45480,22615,117459,44852,34173,2014,06,CA,11
720093,38.3,370878,314302,105942,41806,2695,229061,3245,32210,367931,352162,99897,206825,113764,65089,48675,179062,126898,80985,45913,74227,70249,115056,187750,122521,640524,65468,88078,57209,68681,52916,63507,53526,27608,163531,36832,39784,2014,06,CA,12
726899,39.4,360843,259952,176689,23999,2561,231314,10226,35611,357698,369201,111089,157885,122366,71208,51158,159487,136893,85028,51865,62924,91022,141380,137793,81126,601002,80978,80100,45039,69133,55992,66323,51577,23657,128203,26894,37059,2014,06,CA,14
