Year,State,State Abbr,State FIPS,District,Democratic %,Republican %,Voter Turnout %,Median Age,Median income,Male Population %,Female Population %,White %,White (non Hispanic or Latino) %,Hispanic or Latino %,Black %,American Indian %,Asian %,Pacific %,Multiracial %,Less than HS %,HS grad %,Some college %,Bachelor's degree %,Graduate degree %,Below poverty line %,Income under 25k %,Income 25k to 50k %,Income 50k to 75k %,Income above 75k %
2014,Alabama,AL,1,1,31.71,68.16,28.48,38.7,23092,48.37,51.63,67.67,65.55,2.98,27.69,0.97,1.39,0.01,1.6,9.74,21.99,20.23,9.87,5.09,10.38,60.15,22.48,9.76,7.61
2014,Alabama,AL,1,2,32.56,67.34,31.59,37.8,22525,48.78,51.22,65.36,63.05,3.54,30.21,0.43,1.2,0.02,1.82,11.34,21.55,19.61,8.86,5.36,10.34,59.82,23.11,9.69,7.38
2014,Alabama,AL,1,3,33.72,66.12,28.89,37.7,21508,48.79,51.21,70.69,68.99,2.85,25.33,0.29,1.33,0.04,1.46,11.87,21.44,19.35,8.0,5.23,14.25,61.61,22.06,9.55,6.77
2014,Alabama,AL,1,4,0.0,98.57,25.38,40.5,20768,49.02,50.98,88.38,84.35,5.99,6.9,0.76,0.57,0.03,1.78,14.21,23.01,20.46,6.54,4.07,18.83,63.63,22.21,8.59,5.57
2014,Alabama,AL,1,5,0.0,74.42,28.23,38.8,25783,49.07,50.93,77.01,73.64,4.86,17.07,0.73,1.61,0.07,2.42,9.65,18.43,19.82,12.44,7.32,11.2,56.04,21.81,10.48,11.67
2014,Alabama,AL,1,6,23.7,76.18,33.4,38.6,30073,48.68,51.32,80.31,77.78,5.04,14.09,0.32,1.76,0.02,1.13,7.79,17.46,19.69,14.41,8.85,9.37,51.15,23.58,12.75,12.51
2014,Alabama,AL,1,7,98.37,0.0,25.7,35.2,17803,46.68,53.32,33.74,32.18,2.61,63.62,0.16,0.6,0.03,0.89,11.64,21.42,19.16,7.41,4.23,6.24,68.17,20.04,7.24,4.55
2014,Alaska,AK,2,1,40.97,50.97,49.37,33.4,31441,52.19,47.81,66.48,62.93,6.21,3.45,14.11,5.63,1.14,8.04,5.18,17.38,23.15,11.29,6.2,5.56,45.2,23.33,14.84,16.63
2014,Arizona,AZ,4,1,52.61,47.39,33.11,36.4,22845,50.22,49.78,65.12,50.63,20.93,2.37,23.42,1.54,0.16,2.99,9.66,17.16,22.23,9.12,5.69,11.76,61.97,20.84,9.43,7.76
2014,Arizona,AZ,4,2,49.94,50.01,36.26,40.6,25601,49.35,50.65,81.75,62.97,26.81,4.01,1.34,2.96,0.17,4.0,6.67,14.92,25.14,12.94,9.25,14.1,55.43,23.53,10.71,10.33
2014,Arizona,AZ,4,3,55.72,44.23,18.16,30.7,20821,50.17,49.83,73.48,27.81,61.69,4.52,4.21,1.7,0.15,2.9,14.92,15.79,18.32,5.84,3.13,21.28,66.12,21.85,7.18,4.85
2014,Arizona,AZ,4,4,25.79,69.96,29.36,45.5,23099,50.59,49.41,87.75,74.99,18.61,1.82,1.95,1.09,0.24,2.72,9.57,21.81,27.48,8.37,4.61,15.7,59.99,24.03,9.26,6.72
2014,Arizona,AZ,4,5,30.42,69.58,31.13,37.2,32404,48.93,51.07,85.0,71.86,17.66,3.07,1.16,4.51,0.18,2.86,4.82,14.55,24.07,14.32,7.58,10.09,48.84,23.52,13.43,14.22
2014,Arizona,AZ,4,6,35.14,64.86,32.45,40.8,33546,48.81,51.19,86.25,74.56,15.3,2.46,1.49,4.32,0.08,2.66,5.5,13.78,22.46,18.06,10.93,11.41,47.48,23.09,12.44,16.99
2014,Arizona,AZ,4,7,74.85,0.18,13.31,28.6,20429,50.57,49.43,66.43,20.58,64.18,9.76,2.79,2.34,0.31,2.83,18.61,15.4,14.39,5.09,2.54,31.5,69.91,20.65,5.84,3.6
2014,Arizona,AZ,4,8,0.0,75.81,28.57,40.3,30954,47.95,52.05,85.82,70.94,18.94,4.32,0.98,3.11,0.08,3.01,5.67,17.62,26.25,12.5,6.56,9.97,49.99,25.82,13.02,11.17
2014,Arizona,AZ,4,9,54.68,41.86,26.85,33.1,27548,50.43,49.57,77.97,57.75,27.19,5.27,2.7,4.57,0.36,3.56,7.52,13.04,21.22,14.33,8.32,15.62,53.52,24.09,11.32,11.06
2014,Arkansas,AR,5,1,32.38,63.25,35.09,39.2,20021,49.5,50.5,78.83,76.68,3.03,18.12,0.35,0.45,0.06,1.47,12.45,25.98,18.9,6.78,3.33,16.68,64.6,22.62,7.88,4.89
2014,Arkansas,AR,5,2,43.6,51.86,41.13,36.3,25485,48.57,51.43,73.45,69.69,4.92,21.94,0.34,1.46,0.02,1.94,7.62,20.59,19.73,11.72,6.36,11.21,55.71,24.46,10.96,8.88
2014,Arkansas,AR,5,3,0.0,79.41,33.02,35.0,23716,49.48,50.52,85.45,76.87,13.3,2.8,1.21,2.65,0.73,2.95,10.13,20.22,17.76,10.15,5.63,17.09,59.03,23.65,9.21,8.11
2014,Arkansas,AR,5,4,42.57,53.75,36.73,40.3,19962,48.88,51.12,75.14,72.4,5.47,19.59,0.57,0.6,0.03,1.65,11.44,26.01,19.47,6.97,3.51,15.45,64.65,22.43,7.97,4.96
2014,California,CA,6,1,38.97,61.03,37.17,42.2,22272,50.29,49.71,86.18,78.05,12.74,1.41,1.84,2.57,0.26,4.82,8.07,17.31,28.11,10.25,5.32,17.09,60.23,20.98,9.73,9.06
2014,California,CA,6,2,74.99,25.01,35.97,43.0,29581,49.7,50.3,80.87,72.15,16.96,1.73,2.27,3.67,0.24,4.29,7.13,13.85,22.64,16.78,10.93,11.29,51.38,20.13,11.23,17.26
2014,California,CA,6,3,52.72,47.28,25.21,34.6,25471,50.26,49.74,65.14,49.55,28.36,6.16,1.1,10.69,0.56,5.93,10.55,15.04,22.37,9.31,5.62,11.66,57.79,20.2,10.64,11.37
2014,California,CA,6,4,0.0,100.0,35.93,43.4,30953,49.9,50.1,85.92,77.48,12.54,1.21,1.23,4.5,0.15,4.01,5.15,15.54,27.8,14.88,7.28,10.11,50.75,20.98,11.93,16.34
2014,California,CA,6,5,75.73,0.0,27.18,39.4,30163,48.82,51.18,68.33,51.61,26.88,6.37,1.03,10.85,0.48,5.2,9.5,14.55,24.21,13.72,6.55,9.61,51.33,22.06,12.46,14.15
2014,California,CA,6,6,72.69,27.31,21.74,33.3,24433,48.65,51.35,53.67,38.43,27.44,12.52,0.92,15.64,1.26,6.97,11.13,14.52,21.76,10.76,5.71,13.13,58.74,21.18,10.45,9.63
2014,California,CA,6,7,50.4,49.6,29.61,37.4,30783,49.17,50.83,65.25,55.44,16.67,7.75,0.8,14.47,0.81,6.33,6.82,14.02,24.75,13.98,6.98,9.1,51.92,20.6,12.89,14.59
2014,California,CA,6,8,32.35,67.65,20.84,33.8,23051,50.07,49.93,73.83,48.76,36.93,8.27,1.47,3.02,0.42,3.79,10.88,18.0,23.04,5.85,3.68,16.99,63.21,18.91,9.63,8.25
2014,California,CA,6,9,52.37,47.63,20.38,34.0,24251,49.55,50.45,57.15,35.84,37.77,8.66,0.95,14.11,0.55,7.44,12.7,15.63,21.44,8.21,3.7,11.38,60.04,19.18,9.95,10.83
2014,California,CA,6,10,43.85,56.15,21.88,33.5,24309,49.67,50.33,73.72,45.1,41.29,3.27,0.74,6.48,0.66,5.24,13.04,17.64,20.38,7.32,3.24,15.85,60.0,20.38,10.3,9.32
2014,California,CA,6,11,67.27,32.73,27.35,39.3,34173,48.48,51.52,63.93,47.86,25.87,9.01,0.42,12.76,0.51,5.27,8.23,12.3,19.35,17.71,10.81,7.68,49.16,19.05,11.66,20.12
2014,California,CA,6,12,83.25,16.75,24.88,38.3,39784,51.09,48.91,51.5,43.65,14.71,5.81,0.37,31.81,0.45,4.47,10.31,9.76,15.98,26.07,17.01,5.75,43.63,18.18,12.67,25.53
2014,California,CA,6,13,88.48,11.52,28.26,36.5,30466,48.62,51.38,45.66,34.18,21.36,18.41,0.69,20.96,0.62,6.15,10.32,10.95,16.7,17.07,13.96,6.93,51.57,19.68,11.76,16.98
2014,California,CA,6,14,76.7,23.3,20.35,39.4,37059,49.21,50.79,49.64,35.76,24.31,3.3,0.35,31.82,1.41,4.9,8.66,12.52,19.45,18.96,11.16,4.47,45.8,20.35,12.52,21.33
2014,California,CA,6,15,69.81,30.19,21.21,37.2,37694,49.29,50.71,49.21,35.67,23.45,6.47,0.49,29.38,1.03,5.92,7.79,13.78,18.75,17.21,9.66,4.92,47.24,19.02,12.14,21.6
2014,California,CA,6,16,50.73,49.27,16.66,29.5,17967,49.78,50.22,58.13,23.99,58.86,5.99,1.0,9.19,0.2,3.91,19.67,14.15,16.47,4.65,2.05,21.13,71.52,17.21,6.63,4.64
2014,California,CA,6,17,100.0,0.0,18.33,36.5,42842,50.1,49.9,34.2,25.88,17.05,2.59,0.42,50.81,0.52,4.46,6.86,10.86,15.13,19.47,16.99,3.68,46.4,16.17,11.04,26.39
2014,California,CA,6,18,67.75,32.25,29.74,39.7,47758,50.15,49.85,67.59,56.37,17.36,1.95,0.37,20.18,0.22,4.68,4.72,8.28,15.93,20.64,20.14,5.54,42.07,16.02,10.91,31.0
2014,California,CA,6,19,100.0,0.0,18.58,35.4,30342,50.08,49.92,48.71,26.15,40.91,3.16,0.75,26.92,0.41,4.81,13.55,13.0,17.88,13.68,7.34,7.16,53.68,18.8,10.58,16.95
2014,California,CA,6,20,75.18,0.0,23.71,33.7,24289,50.59,49.41,76.69,38.24,51.59,2.12,0.83,5.38,0.39,3.81,15.58,12.24,18.05,10.15,6.3,15.55,59.66,19.25,9.69,11.4
2014,California,CA,6,21,42.17,57.83,14.85,28.7,17345,53.07,46.93,69.36,18.72,71.93,4.44,1.14,3.28,0.12,3.06,23.9,13.89,13.71,3.22,1.32,27.68,73.9,16.59,5.57,3.95
2014,California,CA,6,22,27.96,72.04,23.5,32.1,24006,49.32,50.68,72.81,41.26,45.91,3.18,0.97,7.35,0.18,4.22,12.25,13.69,20.23,9.33,4.68,18.19,60.04,19.77,10.21,9.98
2014,California,CA,6,23,25.16,74.84,23.86,33.5,25469,50.67,49.33,75.19,48.53,37.16,6.42,1.21,4.91,0.14,4.08,11.34,16.46,22.58,7.78,4.09,17.32,59.54,18.4,10.69,11.37
2014,California,CA,6,24,51.93,48.07,32.58,35.6,25886,50.45,49.55,78.29,56.08,34.91,2.0,0.9,4.51,0.13,3.76,10.43,11.92,21.0,12.19,7.98,13.25,56.14,20.26,10.56,13.04
2014,California,CA,6,25,0.0,100.0,19.22,35.1,31008,49.77,50.23,64.42,44.13,36.77,7.94,0.55,7.83,0.21,5.21,9.63,13.81,22.05,11.27,5.4,9.23,54.92,18.51,10.86,15.71
2014,California,CA,6,26,51.33,48.67,28.02,36.5,28598,49.63,50.37,77.44,44.86,44.24,1.91,0.7,6.7,0.15,4.16,11.88,12.02,20.31,12.68,7.76,11.17,53.55,19.47,10.43,16.55
2014,California,CA,6,27,59.36,40.64,17.2,40.9,29439,48.41,51.59,44.22,28.71,27.55,4.47,0.3,37.0,0.16,3.32,10.93,13.01,18.54,17.09,11.49,5.07,54.91,18.57,10.57,15.95
2014,California,CA,6,28,76.5,0.0,15.7,39.0,28123,50.06,49.94,68.59,55.04,25.99,2.49,0.37,13.46,0.12,3.99,10.65,12.37,19.92,21.7,10.35,12.04,53.24,19.59,11.18,16.0
2014,California,CA,6,29,74.61,25.39,10.25,32.7,20693,50.01,49.99,58.53,18.48,68.23,4.19,0.56,7.99,0.14,2.66,21.12,15.32,14.99,8.85,2.8,15.63,66.55,20.13,7.63,5.7
2014,California,CA,6,30,65.64,34.36,18.22,38.6,32121,49.24,50.76,67.46,51.11,28.56,4.54,0.39,12.41,0.11,4.66,8.29,12.9,19.89,19.15,9.94,9.23,50.37,20.04,11.81,17.78
2014,California,CA,6,31,51.73,48.27,16.93,31.5,24925,49.29,50.71,59.6,28.07,50.76,10.81,0.78,7.65,0.33,4.92,12.63,14.63,19.4,8.42,5.12,14.02,61.13,19.07,9.78,10.01
2014,California,CA,6,32,59.66,40.34,12.64,34.6,22958,49.11,50.89,49.78,17.14,62.19,2.94,0.67,16.48,0.12,3.58,16.85,16.84,17.38,9.06,3.58,9.02,62.94,20.01,9.18,7.87
2014,California,CA,6,33,59.19,40.81,27.01,40.7,48650,48.19,51.81,75.31,66.98,12.1,2.72,0.27,13.85,0.21,5.03,3.07,7.58,16.3,25.48,19.33,7.1,41.8,15.69,12.53,29.97
2014,California,CA,6,34,100.0,0.0,9.14,34.2,17393,51.24,48.76,38.23,9.93,65.29,4.24,0.62,19.43,0.22,2.42,24.88,13.7,13.35,10.51,4.03,12.52,72.1,16.45,5.96,5.49
2014,California,CA,6,35,100.0,0.0,10.28,30.6,21678,49.87,50.13,56.96,14.98,69.83,7.07,0.83,6.43,0.3,3.96,18.22,15.67,16.66,6.12,2.23,13.03,66.11,19.8,8.18,5.91
2014,California,CA,6,36,54.18,45.82,22.2,38.8,22600,50.06,49.94,67.96,42.34,48.08,4.12,1.08,3.34,0.18,3.55,14.37,17.58,21.19,8.41,5.15,14.47,61.65,20.39,8.7,9.26
2014,California,CA,6,37,84.28,15.72,17.37,34.9,24639,48.27,51.73,40.99,24.65,38.54,23.94,0.73,9.95,0.16,3.81,14.34,11.85,16.8,14.98,9.54,8.24,59.01,18.74,9.7,12.55
2014,California,CA,6,38,59.09,40.91,14.94,35.7,25601,48.79,51.21,52.72,17.93,61.66,3.92,0.77,14.76,0.24,3.43,14.75,16.39,19.81,9.39,4.35,8.23,59.32,21.02,10.22,9.44
2014,California,CA,6,39,31.46,68.54,19.26,37.7,31386,49.2,50.8,54.31,32.4,33.61,2.25,0.33,29.26,0.27,3.91,8.02,12.43,20.32,17.34,8.35,6.46,53.31,18.97,11.46,16.26
2014,California,CA,6,40,100.0,0.0,8.41,29.8,17492,49.64,50.36,53.96,4.98,87.26,5.01,0.45,2.39,0.17,1.86,28.23,13.39,10.97,3.72,1.23,18.13,74.2,17.23,5.45,3.12
2014,California,CA,6,41,56.64,43.36,14.03,30.1,22457,49.4,50.6,58.33,24.64,58.0,9.42,1.02,5.57,0.31,4.06,15.38,15.21,17.8,6.01,3.52,13.83,64.64,19.57,8.61,7.19
2014,California,CA,6,42,34.26,65.74,18.68,34.3,29918,49.86,50.14,68.68,45.68,36.43,5.49,0.76,8.81,0.44,5.04,9.06,15.32,22.95,9.98,5.0,9.01,55.56,18.96,11.56,13.91
