Year,State,State Abbr,District,Democratic Votes,Republican Votes,Total Votes,Voting Eligible Male,Voting Eligible Female,Voting Eligible Population,Total Population,Median Age,White,White (non Hispanic or Latino),Hispanic or Latino,Black,American Indian,Asian,Pacific,Multiracial,Male,Female,Not a citizen,Less than HS,HS grad,Some college,Bachelor's degree,Graduate degree,Total income,Income above 75k,Income below poverty,Median income,State FIPS,Income under 25k,Income 25k to 50k,Income 50k to 75k
2014,Alabama,AL,1,48278,103758,152234,254654,279955,534609,691709,38.7,468080,453414,20600,191509,6688,9598,60,11047,334603,357106,12448,67374,152140,139943,68296,35203,555135,42269,57639,23092,1,333893,124770,54203
2014,Alabama,AL,2,54692,113103,167952,254513,277074,531587,685500,37.8,448069,432195,24282,207107,2953,8199,120,12473,334415,351085,12899,77706,147735,134433,60767,36737,552334,40788,57089,22525,1,330385,127660,53501
2014,Alabama,AL,3,52816,103558,156620,260091,281971,542062,692659,37.7,489638,477849,19741,175475,1998,9235,274,10096,337938,354721,13796,82250,148478,134012,55390,36205,563209,38151,80236,21508,1,347003,124253,53802
2014,Alabama,AL,4,0,132831,134752,256347,274575,530922,683276,40.5,603910,576373,40954,47126,5192,3880,186,12149,334924,348352,19611,97092,157224,139800,44695,27803,552636,30771,104065,20768,1,351668,122725,47472
2014,Alabama,AL,5,0,115338,154974,265616,283324,548940,695876,38.8,535863,512427,33809,118796,5096,11212,504,16813,341450,354426,18321,67128,128278,137913,86543,50905,565364,65983,63346,25783,1,316809,123296,59276
2014,Alabama,AL,6,42291,135945,178449,256264,278079,534343,688346,38.6,552810,535428,34680,96977,2181,12096,108,7775,335098,353248,22218,53634,120209,135503,99170,60904,552926,69182,51823,30073,1,282837,130390,70517
2014,Alabama,AL,7,133687,0,135899,241337,287544,528881,680312,35.2,229521,218902,17772,432818,1073,4102,178,6075,317592,362720,11670,79184,145697,130356,50407,28788,550987,25043,34402,17803,1,375587,110441,39916
2014,Alaska,AK,1,114602,142572,279741,295833,270801,566634,728300,33.4,484195,458284,45247,25148,102743,40976,8335,58521,380119,348181,23770,37700,126611,168570,82261,45177,571190,94970,31747,31441,2,258198,133237,84785
2014,Arizona,AZ,1,97391,87723,185114,278849,280201,559050,724361,36.4,471724,366725,151609,17164,169646,11163,1189,21644,363785,360576,28090,70006,124319,161052,66053,41192,572130,44393,67308,22845,4,354544,119258,53935
2014,Arizona,AZ,2,109543,109704,219351,292105,312902,605007,716939,40.6,586079,451465,192229,28764,9632,21198,1233,28648,353797,363142,39589,47819,107003,180225,92765,66315,592632,61226,83560,25601,4,328485,139421,63500
