District,Democratic Votes,Republican Votes,Total Votes,Year,State
1,48278,103758,152234,2014,Alabama
2,54692,113103,167952,2014,Alabama
3,52816,103558,156620,2014,Alabama
4,0,132831,134752,2014,Alabama
5,0,115338,154974,2014,Alabama
6,42291,135945,178449,2014,Alabama
7,133687,0,135899,2014,Alabama
1,114602,142572,279741,2014,Alaska
1,97391,87723,185114,2014,Arizona
2,109543,109704,219351,2014,Arizona
3,58192,46185,104428,2014,Arizona
4,45179,122560,175179,2014,Arizona
5,54596,124867,179463,2014,Arizona
6,70198,129578,199776,2014,Arizona
7,54235,129,72454,2014,Arizona
8,0,128710,169776,2014,Arizona
9,88609,67841,162062,2014,Arizona
1,63555,124139,196256,2014,Arkansas
2,103477,123073,237330,2014,Arkansas
3,0,151630,190935,2014,Arkansas
4,87742,110789,206131,2014,Arkansas
1,84320,132052,216372,2014,California
2,163124,54400,217524,2014,California
3,79224,71036,150260,2014,California
4,0,211134,211134,2014,California
5,129613,0,171148,2014,California
6,97008,36448,133456,2014,California
7,92521,91066,183587,2014,California
8,37056,77480,114536,2014,California
9,63475,57729,121204,2014,California
10,55123,70582,125705,2014,California
11,117502,57160,174662,2014,California
12,160067,32197,192264,2014,California
13,168491,21940,190431,2014,California
14,114389,34757,149146,2014,California
15,99756,43150,142906,2014,California
16,46277,44943,91220,2014,California
17,134408,0,134408,2014,California
18,133060,63326,196386,2014,California
19,127788,0,127788,2014,California
20,106034,0,141044,2014,California
21,33470,45907,79377,2014,California
22,37289,96053,133342,2014,California
23,33726,100317,134043,2014,California
24,103228,95566,198794,2014,California
25,0,114072,114072,2014,California
26,87176,82653,169829,2014,California
27,75728,51852,127580,2014,California
28,91996,0,120264,2014,California
29,50096,17045,67141,2014,California
30,86568,45315,131883,2014,California
31,51622,48162,99784,2014,California
32,50353,34053,84406,2014,California
33,108331,74700,183031,2014,California
34,61621,0,61621,2014,California
35,62255,0,62255,2014,California
36,72682,61457,134139,2014,California
37,96787,18051,114838,2014,California
38,58192,40288,98480,2014,California
39,41906,91319,133225,2014,California
40,49379,0,49379,2014,California
41,46948,35936,82884,2014,California
42,38850,74540,113390,2014,California
43,69681,28521,98202,2014,California
44,59670,0,68862,2014,California
45,56819,106083,162902,2014,California
46,49738,33577,83315,2014,California
47,69091,54309,123400,2014,California
48,62713,112082,174795,2014,California
49,64981,98161,163142,2014,California
50,45302,111997,157299,2014,California
51,56373,25577,81950,2014,California
52,98826,92746,191572,2014,California
53,87104,60940,148044,2014,California
1,183281,80682,278494,2014,Colorado
2,196300,149645,345945,2014,Colorado
3,100364,163011,281141,2014,Colorado
4,83727,185292,286507,2014,Colorado
5,105673,157182,262855,2014,Colorado
6,118847,143467,276440,2014,Colorado
7,148225,120918,269143,2014,Colorado
1,127430,78609,217881,2014,Connecticut
2,131294,80837,227936,2014,Connecticut
3,130009,69454,209939,2014,Connecticut
4,101401,88209,198800,2014,Connecticut
5,106256,92404,213301,2014,Connecticut
1,137251,85146,231617,2014,Delaware
1,54976,165086,235343,2014,Florida
2,126096,123262,249780,2014,Florida
3,73910,148691,228809,2014,Florida
4,0,177887,227253,2014,Florida
5,112340,59237,171577,2014,Florida
6,99563,166254,265817,2014,Florida
7,73011,144474,227164,2014,Florida
8,93724,180728,274513,2014,Florida
9,93850,74963,173878,2014,Florida
10,89426,143128,232574,2014,Florida
11,90786,181508,272294,2014,Florida
12,0,0,0,2014,Florida
